Year,Month,meanT_F
1969,Apr,59.1
1970,Apr,55.47
1971,Apr,57.13
1972,Apr,54.87
1973,Apr,60.83
1974,Apr,61.17
1975,Apr,55.6
1976,Apr,58.93
1977,Apr,63.97
1978,Apr,56.7
1979,Apr,59.33
1980,Apr,61.87
1981,Apr,60.37
1982,Apr,57.73
1983,Apr,60.8
1984,Apr,56.53
1985,Apr,62.57
1986,Apr,58.03
1987,Apr,64.2
1988,Apr,60.3
1989,Apr,66
1990,Apr,64.03
1991,Apr,56.8
1992,Apr,63.13
1993,Apr,58.3
1994,Apr,62.23
1995,Apr,59.4
1996,Apr,61.43
1997,Apr,58.7
1998,Apr,60.13
1999,Apr,59.67
2000,Apr,61.67
2001,Apr,57.77
2002,Apr,60.6
2003,Apr,57.43
2004,Apr,64.5
2005,Apr,60.17
2006,Apr,61.23
2007,Apr,60.27
2008,Apr,56.63
2009,Apr,59.81
2010,Apr,59.01
2011,Apr,55.9
2012,Apr,61.43
2013,Apr,62.63
2014,Apr,63.4
2015,Apr,61.97
2016,Apr,66.87
2017,Apr,59.1
2018,Apr,59.77
2019,Apr,62.1
2020,Apr,65.07
2021,Apr,67.63
2022,Apr,58.2
2023,Apr,59.57
2024,Apr,62.13
2025,Apr,64.87
1948,May,64.23
1949,May,70.29
1950,May,68.16
1951,May,68.35
1952,May,69.39
1953,May,62.81
1954,May,66.71
1955,May,63.97
1956,May,66.74
1957,May,67.16
1958,May,72.26
1959,May,64.13
1960,May,63.16
1961,May,64.19
1962,May,60.29
1963,May,67.06
1964,May,64.65
1965,May,64.23
1966,May,68.32
1967,May,67.74
1968,May,65.29
1969,May,70.35
1970,May,67.45
1971,May,64.42
1972,May,68.16
1973,May,68.9
1974,May,66.03
1975,May,67.35
1976,May,67.58
1977,May,62.13
1978,May,64.58
1979,May,68.39
1980,May,64.74
1981,May,64.94
1982,May,67.48
1983,May,67.77
1984,May,64
1985,May,67.1
1986,May,65.52
1987,May,69
1988,May,64.19
1989,May,66.55
1990,May,64.9
1991,May,60.71
1992,May,74.03
1993,May,68.71
1994,May,68.9
1995,May,68.77
1996,May,62.35
1997,May,71.37
1998,May,60.94
1999,May,61.94
2000,May,64.74
2001,May,70.92
2002,May,64.87
2003,May,65.94
2004,May,67.23
2005,May,67.26
2006,May,68.16
2007,May,67.03
2008,May,66.58
2009,May,69.02
2010,May,63.29
2011,May,62.06
2012,May,66.68
2013,May,70.07
2014,May,71.13
2015,May,70.23
2016,May,70.87
2017,May,69.23
2018,May,69.48
2019,May,70.94
2020,May,69.42
2021,May,70.97
2022,May,64.84
2023,May,74.68
2024,May,69.13
2025,May,69.16
1948,Jun,76.1
1949,Jun,76.4
1950,Jun,73.27
1951,Jun,81.37
1952,Jun,69.87
1953,Jun,67.3
1954,Jun,66.6
1955,Jun,71.67
1956,Jun,69.6
1957,Jun,73.23
1958,Jun,73.37
1959,Jun,71.9
1960,Jun,75.57
1961,Jun,77.43
1962,Jun,73.2
1963,Jun,70.17
1964,Jun,70.37
1965,Jun,73.07
1966,Jun,75.27
1967,Jun,76.77
1968,Jun,73.3
1969,Jun,73.6
1970,Jun,77.37
1971,Jun,68.2
1972,Jun,72.83
1973,Jun,73.87
1974,Jun,76.07
1975,Jun,72.83
